"","A","R","N","D","C","E","Q","G","H","O","I","L","K","M","F","P","U","S","T","W","Y","V"
"63",0.073049580537541,0.039783656845518,0.0314769103595668,0.0280609591586476,0.0306231715432093,0.0279548625179091,0.0264918928616399,0.0558412865428746,0.0247602071731858,0,0.0731994789871732,0.135486032990257,0.0337830061495146,0.0315413091398734,0.0665776718398517,0.0416969051186967,0,0.0799115040957058,0.0596466504260194,0.0161671369648101,0.039940589473111,0.0836557116976899
"65",0.0749316062790165,0.0398092154435203,0.0314938420874153,0.0280437202434167,0.0299478371302969,0.0297008352867915,0.026403339383813,0.0584200452059607,0.0237687924114161,0,0.0746763687997482,0.134989631348225,0.0333647848647582,0.0314393469674642,0.0666661257283078,0.0426464067056741,0,0.0757933816179688,0.0585079211793503,0.0163093775486925,0.0403256872699472,0.0827520548859061
"67",0.0748804959384138,0.040764224640846,0.0330073101840851,0.0301904562641296,0.0259322952815799,0.0368957794409514,0.0298022492578325,0.0634541406189149,0.0216139596789379,0,0.0692665012585543,0.131414816935319,0.0378039721412381,0.0280907518000825,0.0653235099713191,0.043046663672691,0,0.0733719776703977,0.0562315965054291,0.0190707709273469,0.0391971595815269,0.0806073336297731
"68",0.0751622228265551,0.0412115372617406,0.0330598602846855,0.0302653618983945,0.0259748031793873,0.0375504093975849,0.0296758812306863,0.0635584900587665,0.0215704529179388,0,0.0686682794272819,0.131265821209248,0.0382988147083903,0.0279407776596074,0.0650904798116936,0.0432998208979703,0,0.0731966938588687,0.0559603536101979,0.0193047678258984,0.0390012514967705,0.0799375265025652
"69",0.0750513826651067,0.0408365010721944,0.0324896079667295,0.0291769521736305,0.0279096178872354,0.0332973723655424,0.028084983061494,0.0610447257023414,0.0221619424372387,0,0.0701662883336581,0.133272910390539,0.036212441137609,0.0293624060151189,0.0661127176771288,0.0429250539671192,0,0.0751033950982303,0.0574156100353065,0.0172329380834795,0.04024986742695,0.0818311578725059
"72",0.0724202039372046,0.0381306075253399,0.0349076576747427,0.028256439309139,0.0295727899941718,0.032346493997675,0.0276583399631812,0.0588686573170395,0.0208279044592665,0,0.0776677436160731,0.128071956283091,0.0383813929772951,0.0300609653983613,0.0672249149837643,0.0403179902001599,0,0.0748561279067257,0.058150543369998,0.0187510369544637,0.041512091208205,0.0816137213952899
"73",0.0741985979834753,0.0415148573195054,0.0326076952650539,0.0302300907217017,0.0267288426033264,0.0361188079525964,0.0291168834644271,0.0619209514993592,0.0219983792709273,0,0.0684699067406282,0.131828183005224,0.0375105263242888,0.0286903020519369,0.065314326888805,0.0433645414603367,0,0.0746427078668922,0.0566816860510051,0.0181916245009729,0.0395900273722311,0.0811895393436893
"75",0.0769598715000482,0.0420367474924453,0.0325242732458851,0.0303309573552762,0.0254807037187679,0.0376624312133513,0.0299046777267619,0.0653469497263657,0.020958776832203,0,0.0665405850743467,0.130792968039922,0.037022698094858,0.0272644747758387,0.0651171956453154,0.0435328508946891,0,0.072555616739801,0.0554673847385286,0.0194868985584331,0.0388053411499682,0.0821805115489608
"76",0.0699228423372691,0.0383415411876647,0.0336108660518444,0.028926131695696,0.0295902689729587,0.0312259193765834,0.0265231997322547,0.0566512258669254,0.0226240605779423,0,0.0752713203450938,0.13258879663406,0.0372126588113907,0.0319288697209453,0.0676798481950806,0.0420270469876304,0,0.0794459927467964,0.0584712175677685,0.0150187970826634,0.0415689796995304,0.0813460525526695
"77",0.0760138685061759,0.0411299712937886,0.0328655440107523,0.0304846552501264,0.0252972127849206,0.0384379081278859,0.0305937238329879,0.0649857471263196,0.0210105351796406,0,0.0680983489288453,0.130579794895903,0.0380562406794043,0.0269909503642579,0.0652911608322866,0.04305959802126,0,0.0723311069584267,0.0555333678453719,0.0196827714088172,0.0386673707353685,0.0808813325392814
"80",0.0753818467829612,0.041719047296885,0.0333354202368723,0.0306650138877251,0.0249746789168297,0.039342505800776,0.0303399785244563,0.0650259064262152,0.0209313298699363,0,0.0675995953680687,0.129674117966527,0.0384243401080604,0.0270230915162291,0.0650205268128784,0.0431629818937167,0,0.0728228912847157,0.0553459642529441,0.019771750494734,0.0387446490517552,0.080611159493152
"82",0.0733385079485849,0.0393912789243607,0.0324602232789807,0.029555607076055,0.0288794755659821,0.0318165562706289,0.0274250690873482,0.0587637947563647,0.0230561323484344,0,0.0714535009775016,0.134786298287699,0.035812892517093,0.0306338231902129,0.0670857530355388,0.0425715729427555,0,0.0767945704241478,0.0587562090409213,0.0156867251969974,0.0409215833905744,0.0808079294648922
"83",0.0773822587558951,0.0383713497792891,0.0336218911688582,0.0277246089684814,0.0291309323050258,0.0335568819419459,0.0273162183006232,0.0608875721614188,0.022391736748645,0,0.0735560479992881,0.129114555309247,0.038870362944565,0.0285756985759218,0.0679421140074975,0.0411984124487878,0,0.0761209368894667,0.0552444638912424,0.0193334056204856,0.040294785285686,0.0792950855375401
"84",0.0719458605766562,0.041185287115126,0.0352743085266351,0.0308776627886022,0.027288396445595,0.0359366665922185,0.0287881768144052,0.065923559588692,0.0190539985134575,0,0.0713124864421824,0.123549428013585,0.0368895696766122,0.0303217423191413,0.0641211149068208,0.0430967991240724,0,0.0755239544417855,0.0572084288513889,0.0195552783838968,0.0381641937584955,0.0839377414631588
"86",0.0666353899773406,0.036012691091147,0.0377352120267266,0.030356011839181,0.0287044494766286,0.0340802849474306,0.0281559994716206,0.0595106205554081,0.020029773522679,0,0.0823266187641437,0.125516220752244,0.0403987884871365,0.0291654498119463,0.0670836594043539,0.041015566113465,0,0.0778746889456946,0.0581287017400227,0.0171064222041256,0.0421557262095023,0.0779763264716597
"87",0.073954513463167,0.0422273524661821,0.0344455682254546,0.0295785674329428,0.0280344716860891,0.0335597877784344,0.0281396293577931,0.0622860819827498,0.0190743773200031,0,0.0720307105643719,0.125846682235482,0.036642707067516,0.030859085234499,0.0655356033574171,0.0400550890826745,0,0.0742572371707058,0.0566370206461557,0.0205877789246351,0.0394918447957035,0.0867044879448345
