"","A","R","N","D","C","E","Q","G","H","O","I","L","K","M","F","P","U","S","T","W","Y","V"
"25",0.0668924104410835,0.0527617983210396,0.0399172839329736,0.0515930180354252,0.0254204411682203,0.0620730395419134,0.0410861068209923,0.0721616462994395,0.027488138814323,0,0.0542989886497018,0.102001626441511,0.0549168317795819,0.0219493998555162,0.0445005610554543,0.0466405404077207,0,0.0655492202722626,0.0521517609839956,0.0146882802487883,0.0341869638962416,0.0697150619322311
"28",0.0651419663451731,0.0531172478157061,0.0396810694164354,0.0507047162106839,0.0266005646006515,0.0615848485039214,0.0406495583246992,0.0741411414709832,0.0285981944392915,0,0.0543637222309088,0.0993982971050986,0.0558012032533199,0.0214366205416412,0.0443716027433215,0.0473532825331988,0,0.0667559797490679,0.052271884866425,0.014585298076337,0.0341607897943052,0.0692629406881625
"29",0.0656101424582125,0.0534808840727001,0.0402663046893698,0.0512844334170799,0.0258559740898955,0.0625253048065287,0.0405574019062359,0.07085834603978,0.0289352269406538,0,0.0551457324796731,0.100581245869701,0.056830680633431,0.0216101358708222,0.0450059707232572,0.0452374620950097,0,0.065402290474971,0.052342156069758,0.014483763384074,0.0344957560483925,0.0694920010472511
"31",0.0663189332374018,0.052432852880882,0.0397205976856945,0.0517591517995439,0.0248093826978873,0.0626588549374175,0.0408500948938569,0.0705684927792805,0.0279511382442827,0,0.054643169048135,0.101748354605791,0.0556530197133202,0.0219864180832545,0.0447282991004168,0.0456341786585224,0,0.0657331214706634,0.0528705752425444,0.0146758671767169,0.0347320656434528,0.070439073409185
"35",0.0654343681421421,0.0531640894624373,0.0399093115841797,0.0503374621002112,0.0268515898877626,0.0627559419930119,0.0414122533044177,0.0699493257952109,0.0301471543738983,0,0.054444418459378,0.100241957589635,0.057665293938384,0.0214602853091128,0.0446019556224799,0.0445547573920319,0,0.0655170495542065,0.0521935733210519,0.0141919192291978,0.0341973036472651,0.0685981617396447
"36",0.0662536576020717,0.0523738197221986,0.0399409286029138,0.0515795376282162,0.0251129889371827,0.0627201988142433,0.0412350034803039,0.0703372970817547,0.0283749216263177,0,0.0548360032633519,0.102458705588916,0.0563479250139972,0.022182869755045,0.0449009143564114,0.0452913924054123,0,0.0653498372458384,0.0522139174243162,0.0145413915646262,0.0342378348651734,0.0697106490538952
"38",0.065758915081945,0.0539074792838342,0.0393219524178412,0.0499810315134006,0.0265510348978554,0.0625626000977653,0.0408677462475121,0.070967689243927,0.030155985650645,0,0.0539705436437668,0.100615840823243,0.056901249382405,0.0214815187648607,0.0448982893132454,0.0457203426718014,0,0.0660747899424244,0.0522326205776766,0.0144901506134234,0.0343869970327813,0.0691542604408926
"40",0.0666734103152836,0.05318313852887,0.0393318981971473,0.0519388223403823,0.025363493538986,0.0619533916956817,0.0408734154260139,0.0734063585939669,0.0279693784319327,0,0.0533519452140557,0.101477856469678,0.0547232509407908,0.0218790258096419,0.0443084195345221,0.0471699039164558,0,0.0654756541644454,0.0522381923107812,0.0146540822571015,0.0339911295589804,0.0700215287242381
"41",0.060729891252688,0.0483251150014236,0.0439222536077743,0.0518821078090256,0.0261974681404625,0.0621126295217194,0.0383122802447719,0.0710096838184328,0.0260978850653059,0,0.0607193141483858,0.096552373001034,0.0613598282621813,0.023185790653083,0.0453890375682442,0.0431080830622201,0,0.0659406880611511,0.0539359803974313,0.0149725407249186,0.0367542203094853,0.069482929215176
"42",0.0631250221434605,0.0518506440200415,0.0410745504220988,0.0525169086156384,0.0262038328527701,0.062042102013896,0.0392339070204279,0.0737962830885312,0.026077833106241,0,0.0559355032873096,0.0968621939765277,0.0566876402452298,0.0225931205824434,0.04396465263069,0.0447145199168694,0,0.0675579188882326,0.0536923138576396,0.014935609732653,0.0354374902201129,0.0716041312040195
