"","A","R","N","D","C","E","Q","G","H","O","I","L","K","M","F","P","U","S","T","W","Y","V"
"43",0.0669447595775846,0.0566048336503295,0.0369431542005002,0.0484235155600069,0.0304879878671421,0.0716687341406684,0.0536483427834126,0.0600008449121273,0.0241687536171836,0,0.042673764007921,0.0969549522384945,0.0580520063257892,0.0192877058002172,0.0347751283916704,0.0549913673199074,0,0.0815268378392485,0.0560403693197573,0.0130946352802236,0.0290826666351301,0.0645546030803562
"45",0.0677961996472439,0.0581500013750904,0.0367672703721178,0.0485974483760485,0.0243379797048873,0.0769659369377406,0.0544167513640898,0.0563892053810649,0.025268454771136,0,0.0421871882150467,0.100511748882815,0.0610734359048954,0.0209431089633896,0.0343502369494748,0.0571433161986879,0,0.0833143526990883,0.0530334921247044,0.0120084365588269,0.0274617137660612,0.0592806164805507
"46",0.0676389040486284,0.0593917801917818,0.036522148225861,0.0485817628005777,0.0248620293235184,0.0766751367057012,0.0542173820675187,0.0573152487945193,0.0251332261922946,0,0.0418506995333715,0.100764579852835,0.0593567658240073,0.0205109964635387,0.0342773213164743,0.0576072662664253,0,0.0837826480860744,0.0531108877180745,0.011811988546131,0.0270311346766314,0.0595509537723699
"47",0.066749099739914,0.0582893205030733,0.0371540033734229,0.0487137961829133,0.0251105285505512,0.0763517030271633,0.0540553248825326,0.056711943352907,0.0252377961189302,0,0.0424971387098902,0.099906607892693,0.0612596541560965,0.0208253677105717,0.0344863290884203,0.0572548015391413,0,0.08304981420309,0.0533045554753112,0.0118995568740977,0.027446317782417,0.0596724466572419
"49",0.0682246262580507,0.0577965870941766,0.0353884682803784,0.0472496148559834,0.0266337712482069,0.0705378349623382,0.0504906642623597,0.0579649770119617,0.0253730063901907,0,0.0434350729132183,0.103920792008099,0.0570350681123483,0.0218152525974063,0.0363669099527073,0.0573758060719391,0,0.0849291934441017,0.0534592480540018,0.0116937383874109,0.028791237917971,0.0614704795837182
"50",0.0704989943382805,0.0605731494227997,0.0362794623916801,0.0490903935012225,0.0244311918974135,0.0751143649486215,0.0540046617167406,0.0581697520051061,0.0248946796172583,0,0.0411207994714624,0.100385287642094,0.0598442638317173,0.0202504414886723,0.0339420170237578,0.0579749585951432,0,0.0828465965649206,0.0521907718797127,0.0119078305702524,0.0271483423582641,0.0593289717920365
"51",0.0683837764556403,0.0585305381435507,0.0360061848923922,0.0473305243524021,0.0270690503271896,0.0709986663014697,0.0503526936142434,0.0578918830430133,0.0253127071428696,0,0.0431604558341979,0.103010553501079,0.0573740220448354,0.0216875485446663,0.0364030667365556,0.057186374634438,0,0.0846822465482752,0.0533264711812257,0.0116103416459419,0.0287146740616157,0.0609288112572874
"53",0.0668058182859384,0.055807381900882,0.0360068490961722,0.0453799575194115,0.0267409338185757,0.0671009214404304,0.0487713825411081,0.0554170665697577,0.02537894454499,0,0.0488160288587244,0.106226881881531,0.0559866394483035,0.0234585609536748,0.0395624989553683,0.0552074139909122,0,0.0854449918626977,0.054563978048635,0.0109876395263637,0.029675958420714,0.0624952460902579
"54",0.0639398311563304,0.0511739508692898,0.0366262319064936,0.0416257862105909,0.0283582618916713,0.0579564378704341,0.0437094066059211,0.0514685864582722,0.0259055424573541,0,0.0568285321390513,0.111981944509984,0.0535035469732806,0.0272991156721135,0.0459210678474271,0.0511176369323737,0,0.0857052911384308,0.0570571639736598,0.0105018393554575,0.0330954525338477,0.0662143646619023
"55",0.0671427692706769,0.0562301623517283,0.0357745208312982,0.0455531426675243,0.0267361998807425,0.0674403374579319,0.0489501041312236,0.0557784762815956,0.0254136813806904,0,0.0483506538201099,0.105907582349909,0.0556651262342633,0.0232931447023114,0.0394798049569291,0.0553429705528622,0,0.0851311883828497,0.0544635777211062,0.0109921010723056,0.0297335199924537,0.0623742715901324
"57",0.0694019129442786,0.0584346905641608,0.036319327266196,0.0483084964986656,0.028869909683735,0.0722904913710071,0.0528184260377685,0.0601204465878767,0.0247318989310469,0,0.0413332666619297,0.101038625637503,0.0565530373186174,0.020052000082895,0.0352302252380274,0.0547573912494277,0,0.0800948675650925,0.0536713500663159,0.0132632491355218,0.0296191749167099,0.0625047556171346
"58",0.0673705734418494,0.0573164827354538,0.0365147497392195,0.0483099149787152,0.0312137692835071,0.069529200685985,0.0515940151930364,0.063530076299138,0.0233258872132151,0,0.0407894170305805,0.0964512499975441,0.0558402279741243,0.0192512997766422,0.0335611393598651,0.0551427310926846,0,0.0827287025414055,0.0573089199075138,0.013958719042764,0.0305217834432441,0.0647481537730158
"59",0.0670418164049958,0.0566941928933452,0.036378611531484,0.0463804147107865,0.0277384601330639,0.069415709078769,0.0496774090022761,0.0578759946968823,0.0255029006000172,0,0.0453621321982346,0.104189073907963,0.0566889715143144,0.0220709876071034,0.0377689823553472,0.0566211124257313,0,0.0847095774565212,0.0540584048639734,0.0114454593131077,0.0290365850562505,0.0612935128248868
"60",0.0667684234159023,0.0584796821368243,0.0372018070154202,0.04892399121855,0.0251114214233436,0.076681579158283,0.0538356570781747,0.0562417631707841,0.0254198065047573,0,0.0428560026590638,0.100925890424587,0.0609615549539846,0.0210907630511192,0.0347957262193986,0.0564353113998837,0,0.0826105950055239,0.0529115424726647,0.0119410222715723,0.0274054763982001,0.059241857288562
"61",0.0705926796937066,0.0595060042508413,0.0348582038012171,0.0470284718912083,0.0270310682838163,0.0725369064939709,0.0515316048693345,0.0589817927257375,0.0256047770180058,0,0.0416615985367455,0.103066138483007,0.0574454676445264,0.0209254275069356,0.0361677791642229,0.0574494365867656,0,0.0828818071274378,0.0519261068616561,0.0116241288583039,0.0284844085528422,0.0606438802963942
"62",0.0645184008183185,0.0558968870119603,0.0369592608002967,0.0385379734572438,0.0277509245948202,0.0481038459451566,0.0408120835426882,0.0537663287226785,0.0269544810417782,0,0.0600523273772694,0.121126662998628,0.0480794860870611,0.0259152151062277,0.0423900940263573,0.0467611175059552,0,0.0879848711272781,0.0583056254835928,0.0140360315562033,0.0300918664778663,0.0719030895125937
"63",0.068005021344717,0.056813629550575,0.035781304314682,0.0446807819789603,0.0300318727448289,0.0651312343853228,0.049847103843743,0.0581394240653215,0.0257605646016498,0,0.0458162365536752,0.103277664413613,0.0552100945604853,0.0210888624790364,0.0381088838915146,0.0525931120597651,0,0.0842794329589537,0.0561558844166622,0.0136735270112314,0.0304907080008808,0.0640198343751588
"65",0.0683283548858212,0.0575753719879206,0.0364577555942275,0.0475202236571895,0.0294313022701455,0.070186375582178,0.0527714325176774,0.059383019008343,0.0252810854209682,0,0.0422408084934147,0.10274588656173,0.0561726274637077,0.0206276092126393,0.0362133981493395,0.0543867937619957,0,0.0801779216724206,0.0543050245554741,0.0135296249065064,0.0299575710318147,0.0626621231858511
"67",0.0664446785982585,0.0576324629921549,0.0369929372652372,0.0480604626165345,0.0259864017414007,0.0748412451877488,0.053313394185889,0.0566221461902238,0.0253852343809653,0,0.0438449333304593,0.102382682009631,0.058885548165618,0.0213026812583899,0.0358036433884653,0.0558589654429245,0,0.0835411655315953,0.0533473798137911,0.0118373840195076,0.0278624266062392,0.0599497850096676
"68",0.0679247631557409,0.0581899290922674,0.0365872362403261,0.047868435948408,0.025124283780102,0.0749712281540477,0.0533894513637179,0.0568704461334305,0.0253054199509188,0,0.043292007455412,0.101914345882638,0.0595861569717999,0.0211383928650971,0.035249119915387,0.057368348725163,0,0.083122389600959,0.0527344927429641,0.0118682790087213,0.0278800366399783,0.059610201297161
"69",0.068896065665239,0.0568292164855214,0.0355367540824734,0.0449755577828215,0.0276866019900182,0.0661061991486232,0.0481670490417672,0.05733231611113,0.0253924006411368,0,0.047424124308276,0.106703942487081,0.0546433331781263,0.0229949019827577,0.0400284036290054,0.0558239325748702,0,0.0826229129903626,0.0542856859865332,0.01132158602473,0.030174683401151,0.0630109237296429
"72",0.0652726663791049,0.0530294215240017,0.0409813301247488,0.048896375427086,0.0299554078572483,0.073817168666356,0.0509813247670179,0.0536282218236716,0.0251359941882243,0,0.0483910996515202,0.0970913988444557,0.0643418782251381,0.0229815296775145,0.036560556568328,0.0488394899712813,0,0.0805261617535214,0.0542332238101183,0.0125524276195557,0.0316210571075064,0.0606679751410378
"73",0.0678962947580733,0.0580049887434662,0.035398911473716,0.0464093728218669,0.027143551136293,0.0696664715340928,0.0503375263942743,0.0580915100894811,0.0253572026085019,0,0.0441071164726267,0.103713428924862,0.0566858176201395,0.0217124690848964,0.0371685236677005,0.0577306494179639,0,0.0847368743515795,0.0535800065328465,0.0115874979196733,0.0291937747765874,0.0614432067418316
"75",0.0705384511176087,0.0602963143259174,0.0359233979347148,0.0488487346046297,0.024952010853685,0.0750549960251586,0.0539412779483612,0.0580503976963872,0.0253536123802853,0,0.0414793214610437,0.101069851429065,0.0589311072342125,0.020553986766307,0.0340408388956627,0.0576697787637344,0,0.0824715993636992,0.0523339658310515,0.0119059405030664,0.0275162658116268,0.0590409680902641
"76",0.0646714253549696,0.0517812259450489,0.0357069793748849,0.0420731318919415,0.0291424340586391,0.0590749997234002,0.0445754231882726,0.0542878095150283,0.0251011104646875,0,0.0545688305181633,0.109867863516503,0.0525910418587496,0.025543011626406,0.0443265208832749,0.0524802755670292,0,0.0875649407800108,0.0569219254656095,0.0106988372579752,0.0333367984971418,0.0656427052092937
"77",0.0675053835705698,0.0594728201229893,0.0366165827160652,0.0489521479303557,0.0253176544704247,0.0762334121880293,0.0540101216922818,0.0567524879166765,0.025604597588846,0,0.0417184923058968,0.100231822849234,0.0604717722143526,0.0204821116171717,0.0344758855107088,0.0571605301686,0,0.0835288733317556,0.0529088731178057,0.0118955038494828,0.0274054991360951,0.0592506609440393
"80",0.0677670664333939,0.0591510363708184,0.0366973731465072,0.0493531630281125,0.0244634038847339,0.0775580536246077,0.0546260624743379,0.0565527350421238,0.025206143214644,0,0.0418213579352621,0.100007952172998,0.0611973573401695,0.0206601745258747,0.0335118391092839,0.0567630086548306,0,0.0842675697739677,0.0528585959190672,0.0117587302761854,0.0268947432460875,0.05870122585197
"82",0.0686172493642458,0.0542095948388729,0.0353171718108075,0.0445341449348156,0.0268014013600131,0.0645263156216247,0.047326900100697,0.05513684306693,0.0250494973606765,0,0.0501091618191706,0.108805304408463,0.0553038685629157,0.0236797323226288,0.0413208439154149,0.0539695016226051,0,0.084942889762839,0.0553581020668405,0.0106376950478248,0.0308379488471094,0.0635074262293883
"83",0.066405239863678,0.0559531878769025,0.0396097261228988,0.0489379794122929,0.0300001346325558,0.0734630279856597,0.0507246857813969,0.0550273704419732,0.0253572019434709,0,0.0476384760592158,0.0971066634668752,0.0643208844294406,0.0219509413821488,0.0368813318996838,0.0486531415693098,0,0.0793691129964254,0.0531994257268575,0.0128451722390405,0.0313133886861459,0.0611686714252388
"84",0.0646380009467609,0.0597321333969709,0.0398592072795135,0.0534889443090792,0.0309215945309238,0.0710737215727424,0.0517587374541114,0.0600694072909732,0.0252501655334613,0,0.0436564034791851,0.0939097287926106,0.0566128166343487,0.021483489948312,0.0340338410508915,0.0487314174201475,0,0.0799977784643704,0.0572113291187043,0.0128635998416421,0.0289345917336148,0.0657121140254796
"86",0.0595002841524127,0.0510363253055209,0.0448649157941414,0.049741203474738,0.0319127647832259,0.068279394476901,0.0489078508867904,0.0566763019714841,0.0241376216516625,0,0.0527226131216681,0.0909783745955273,0.0623948016413219,0.0210466702426158,0.0356714678174252,0.0491260360409207,0,0.082960140314051,0.0592336129803083,0.0130550200130515,0.0327427531646182,0.0635549450536682
"87",0.0655985088177399,0.0580799744360409,0.0393817144834436,0.0503883668647263,0.0304536978266982,0.0681476910449449,0.0503400769840373,0.058054809511984,0.0246650612074222,0,0.0458484424062258,0.097739998721802,0.0574222660441234,0.0233733358592959,0.0369481192230016,0.0478061113748661,0,0.0824980090605975,0.0553336501133943,0.0128506023964385,0.0300726998827709,0.0649477248441512
"407",0.0685330176962754,0.0588554368765862,0.0359629603446541,0.0504749974358395,0.0227700088108583,0.0787554733713031,0.0540652718042809,0.0552727508420237,0.024832972241582,0,0.0414599242681116,0.0995675055740512,0.0641914134457978,0.0201740594198057,0.033061914718153,0.0562029228126026,0,0.0832595769491341,0.0524267819101862,0.0120506048696362,0.0269751868077008,0.0591262613045126
"408",0.0660322127479354,0.0541136251446928,0.0362455026859436,0.0459979067008802,0.0254809946457591,0.0667285771032173,0.0486541599897209,0.0526600922281616,0.0251957252930933,0,0.048767034840341,0.106638231076656,0.0585515246654084,0.023435468014905,0.0401181824644064,0.0532701579911866,0,0.0860944508746071,0.0554620109698791,0.0112375203451772,0.0308267090638267,0.0630723353511695
"409",0.067990721608474,0.0558930206657334,0.0352802592925888,0.0458845347214059,0.0241546075463657,0.0685182545811032,0.0492627590706637,0.0539215727495057,0.0249432174972979,0,0.0465035538647274,0.105752691449864,0.058100648866736,0.0228427435580479,0.0383055512693045,0.0549610569106597,0,0.0856239978828279,0.053854992792959,0.0107920312149773,0.0296078159835418,0.06111151609739
"410",0.0666889801071304,0.0533796906228429,0.035391353252867,0.0431267063738954,0.0286485400316413,0.0621074430352,0.0457119562531665,0.0551068806235244,0.0253966478685048,0,0.0511589480954453,0.109676421120305,0.0533229079008573,0.0248331730897423,0.0429839720116255,0.0531217662198953,0,0.084661633906907,0.0556834693644768,0.0109717025816735,0.0317392224760245,0.0648018920668497
"411",0.0683385385511473,0.0574530427006094,0.0352467480632828,0.0477287870621544,0.023312479329908,0.0729634016985616,0.0513024316558587,0.0548209365479689,0.024952715472214,0,0.0445411144909988,0.102414670246273,0.0602440841590912,0.0220538606976616,0.0360733941176378,0.0573682291758751,0,0.0860959707869959,0.0541446122835933,0.0110080736404368,0.0284794848652635,0.0599145289065831
"412",0.0666924814349754,0.0554119654569675,0.0350267663095591,0.0453611035930953,0.0262526054295763,0.0682351224332803,0.0495827450079978,0.0554142010187898,0.0250171504386025,0,0.0468415956700343,0.106946967385658,0.0563888588249902,0.0229596193977048,0.0394267127029807,0.0547825614701251,0,0.0852596029762823,0.0551174646865932,0.0113574132474962,0.0290385637904318,0.063320252529891
"413",0.0668183304792234,0.0552976717506263,0.0348758293153131,0.0451265553604231,0.0269213752195235,0.0667626601358151,0.0481315411789377,0.0559578614659517,0.0252032426333597,0,0.0468955748258586,0.106984380690508,0.0549594605529605,0.023094067880048,0.0400985033046948,0.0555123428640362,0,0.0858677011094998,0.0551938285234492,0.011561216992521,0.0297718229302035,0.0637126366956774
"414",0.0677791515522044,0.0558720977668921,0.034451570872313,0.0464631471726313,0.0246416157831258,0.0724292207961157,0.0509319696480321,0.0540729487332302,0.0247588606508734,0,0.0459189652825571,0.104004052553598,0.0599660707268399,0.0223901735039021,0.0370272383118453,0.0551298684782232,0,0.0846605544575651,0.0553669829649084,0.0111188262051516,0.0280019784661368,0.0638014321922345
