"","A","R","N","D","C","E","Q","G","H","O","I","L","K","M","F","P","U","S","T","W","Y","V"
"23",0.0591658571483786,0.0558930151156473,0.0430798945898663,0.0552405891732245,0.02717555366823,0.0680523040907189,0.0451594340656106,0.0635017083924412,0.0290330824531373,0,0.0513359347708448,0.0956946379287243,0.0625373441821796,0.0228990747832815,0.0408173329091012,0.0435430451318158,0,0.0731035965953257,0.0537665065586485,0.0128721367605355,0.0322725173353445,0.0648551984135832
"25",0.0655292654641227,0.056647659482439,0.04007359734509,0.0531456696688396,0.0258307253384446,0.0696693963026858,0.0462122234023974,0.0657732000212527,0.0275168757208926,0,0.0494206843931104,0.100117511657728,0.0598398881008311,0.021189828357196,0.0399852937336643,0.0488339341867634,0,0.0682251256622513,0.0513094857594101,0.0134273602946884,0.0323675997674635,0.0648559491632376
"28",0.0636010137447984,0.0577003117287938,0.0418126042190261,0.0525920342377065,0.0257222690891408,0.072108505362791,0.0452227509940089,0.0660103612937375,0.0272664589517412,0,0.0520722173058703,0.0976334085574958,0.062301113736703,0.0205663161430041,0.0401445077998466,0.0478153802211596,0,0.066741051098192,0.0516438811663964,0.0133917659346504,0.031827493891242,0.0638071677158556
"29",0.0648609433481052,0.0571806622122921,0.0401415596576637,0.0528826040900135,0.0261111356396738,0.0702988928506106,0.0459420103699911,0.0649976237779984,0.0284465641413273,0,0.0497871456740292,0.0988740167421091,0.0609396925634433,0.0208010873754101,0.040255227241207,0.0482334916972057,0,0.0686469326678919,0.051477846916734,0.0132828947292986,0.0322801760335467,0.0645605564824568
"31",0.065063178900154,0.0562979379317497,0.039808698178544,0.0532865916765287,0.0252121468357215,0.0703967552342786,0.0464149261918931,0.0641265482025014,0.0278560686544542,0,0.0498825493683021,0.100233496224207,0.0604765199184502,0.021377598703083,0.0403193930996236,0.047645908279366,0,0.068723792695121,0.0517103070421506,0.0134377664314602,0.0325148125899319,0.0651082633571225
"35",0.064574030347447,0.0566913803392787,0.0398782332800806,0.0520661507646487,0.0263806750334099,0.071366814105377,0.0470954939461946,0.0638806419990319,0.0291058716000706,0,0.0494329215200372,0.0990752287844004,0.0619051290878546,0.0209263717964297,0.0398713704250733,0.0476956455316861,0,0.0690591334218265,0.0515701998604855,0.0131043812318203,0.0318859149728787,0.0638137281761099
"36",0.0653979515934027,0.056135590294315,0.0398449823750917,0.0528254557201252,0.0250451887534215,0.0707100320672696,0.0466793005965684,0.0642597967273743,0.0280709692996538,0,0.0496512240384731,0.100544712565091,0.061252640598635,0.0212914018507146,0.0402533631252097,0.0480496735038973,0,0.0686873683679826,0.0512775142310325,0.0133043531901488,0.0320729597924939,0.0646455721811548
"38",0.0643683693497478,0.0574744827155421,0.0392485176913024,0.0516931154948705,0.0264190505928348,0.0711494776186392,0.0465586893774584,0.0647803669313827,0.0291862284475567,0,0.0487269065230767,0.0990667560439918,0.060747769872309,0.0207003022472528,0.0399420950919387,0.0491803566616676,0,0.069454505849612,0.051378328346792,0.0133543472414827,0.0321160331561518,0.0644527807564437
"40",0.0657564888805455,0.056849652729199,0.0394040559734184,0.0532944872612812,0.0257505692433799,0.0696362725971563,0.0460035027782417,0.0664741023388482,0.0278090251475573,0,0.0487502488256362,0.0999590434145037,0.0595360506622533,0.0211238289814599,0.0399087400392086,0.0492197960724921,0,0.0684214865048171,0.051411491375583,0.0134254785261359,0.0320489532665956,0.0652069248989337
"41",0.0591845642504055,0.0521623937014259,0.0448710618114892,0.0540755608466276,0.0266200747210108,0.0692700614638895,0.0429448701150255,0.06463750226018,0.0263646598897659,0,0.0560210508898879,0.0946626724049253,0.0663412934564949,0.0222472850985077,0.0412849978930975,0.0438778882702406,0,0.0674981416883076,0.0534573311204362,0.0139755964093804,0.0349935263890236,0.0654994535509759
"42",0.0619820001616397,0.0553313261242942,0.0413954377226869,0.0545725121223338,0.0269662007906449,0.06842459538224,0.043858313018856,0.0685092522542802,0.0264436750820218,0,0.0511696041803311,0.0945410475407806,0.0606537933224413,0.0215627664647697,0.0399407162595763,0.0457473541452417,0,0.0695770129504951,0.0535549330955295,0.0139261247413717,0.034108466434905,0.0677254312308226
"43",0.064839409312522,0.0557808670097333,0.039892699091701,0.052375518956876,0.0275160142963845,0.0679467063930529,0.0447254429964356,0.0686782241121194,0.0278476636168454,0,0.0497708824532875,0.0981264077851334,0.0594848548701008,0.020563022135064,0.0403397213466877,0.0490903963287804,0,0.067703571439862,0.0521527198341721,0.014023320029488,0.032913062867003,0.0661556163151802
