,SpeciesUID,A,R,N,D,C,E,Q,G,H,O,I,L,K,M,F,P,U,S,T,W,Y,V
19,40,-0.136182581683892,-0.33853893446365,-0.806284844887821,-0.479340896765228,-1.26358425233915,-0.13207101828213,-0.52230824576914,-0.188128771060074,-1.11450941217103,0,-0.619978165830435,0.218545140925123,-0.344068968473029,-1.31575784854532,-0.786463858468591,-0.247626190116053,0,0.0290140536148042,-0.416735388905682,-1.88036691250573,-1.07435632751461,-0.267140440402768
20,41,-0.291406591284698,-0.460267658342302,-0.620727629517256,-0.484721012704599,-1.25006442923111,-0.141908672020786,-0.556856206523754,-0.313144904208431,-1.1773728206216,0,-0.452165277540658,0.160748542077243,-0.209703209736352,-1.27114710485901,-0.710716845420595,-0.446103863089762,0,0.017071632345476,-0.375507449795311,-1.90702478400392,-0.978325905181573,-0.263821517376886
21,42,-0.205566625668658,-0.37157282804311,-0.738722828294886,-0.471124470502104,-1.23417721851096,-0.139627803024469,-0.544016108674385,-0.23196397700404,-1.17398810143432,0,-0.570350723085949,0.163352875735729,-0.316420468264363,-1.3037319465386,-0.776480593544179,-0.352562232718184,0,0.0453657724457579,-0.395602084897971,-1.91264089664821,-1.03473842914192,-0.246658213392351
22,43,-0.174943701073706,-0.394260350728362,-0.790816385848411,-0.528234883230321,-1.26453871147782,-0.180426965289723,-0.567940452213588,-0.225654988605349,-1.14502259458,0,-0.552496450291637,0.223192610955056,-0.361317241968438,-1.30172917289326,-0.727708980353554,-0.283360076358067,0,0.0207623841843612,-0.406675728475223,-1.91270755853714,-1.04194681417159,-0.262919815110178
23,45,-0.174533840067281,-0.367511464502528,-0.782661795759966,-0.501056571060145,-1.28819043954994,-0.110350604149356,-0.51336471518687,-0.227134487884914,-1.12753917280173,0,-0.606660559553457,0.190014381978281,-0.309639785309244,-1.3267117261798,-0.812080203494247,-0.278014793586578,0,0.0168898643401199,-0.420647405087876,-1.91208973199456,-1.10750676487596,-0.307142459278888
24,46,-0.170811747970025,-0.365000690683622,-0.788428571651338,-0.508129021916857,-1.29079419231932,-0.114027850236876,-0.518995332039227,-0.226263721898669,-1.12752513541672,0,-0.618828896100864,0.187313215534783,-0.321866436340313,-1.33446161054514,-0.81809155801943,-0.266784072843318,0,0.0250317440966743,-0.421814513005946,-1.9228984823109,-1.11391223354987,-0.310542948293993
25,47,-0.198105544023373,-0.386665299517242,-0.777007353754929,-0.502811037554069,-1.29681017101028,-0.118231000960174,-0.526183805500879,-0.24601171708051,-1.13825370318899,0,-0.598172572800809,0.181307093910013,-0.30989600373957,-1.33302224529043,-0.812352164313137,-0.28986545499409,0,0.0133418239197214,-0.417824210963746,-1.91765702113238,-1.10297837937,-0.302832472857254
26,49,-0.16393875072283,-0.365933630324262,-0.828894931130426,-0.513188537599715,-1.2775118436309,-0.15753666663531,-0.541965870786151,-0.217850275288318,-1.14020040471999,0,-0.650022316644363,0.201561838257561,-0.375220820950154,-1.3410099269091,-0.805500214040134,-0.266678824475153,0,0.020081086582266,-0.430256907447606,-1.90655035923562,-1.10634732211278,-0.289788312180036
27,50,-0.152333393701236,-0.35480431520931,-0.804389503765381,-0.504322130859859,-1.32120615258267,-0.130854988898905,-0.532430348315254,-0.217494231635666,-1.14849010673513,0,-0.641756622457109,0.174640446198921,-0.338124924289531,-1.34733508678711,-0.829572562803019,-0.258969065987858,0,0.00813753402021211,-0.445396667091101,-1.93728248338306,-1.11572223439999,-0.315193819938494
28,51,-0.175095892959907,-0.371594346463874,-0.822521891597315,-0.510727468255934,-1.29673270001945,-0.153347311881475,-0.542901528857507,-0.231560260558632,-1.15446402089304,0,-0.650672600590448,0.19255575815972,-0.365474367435263,-1.34245040030685,-0.811051205918445,-0.281419555717533,0,0.0136825452358416,-0.434145032880604,-1.91607587347388,-1.10930590850395,-0.297172908573224
