aa,Abbrev,Full_name,Pjordan,Rjordan,Avg_jordan,TrifonovConsensusOrderOfRecruitment,Full_Protein_Animal_Phylostratigraphy_Slope,Domain_Animal_Phylostratigraphy_Slope,SlopeAnimal..1496,StErrAnimal..1496,PvalueAnimal..1496,SlopePlant..1496,StErrPlant..1496,PvaluePlant..1496,SlopeAnimal..2101,StErrAnimal..2101,PvalueAnimal..2101,SlopePlant..2101,StErrPlant..2101,PvaluePlant..2101,Slope..2101,StErr..2101,Pvalue..2101,Disorder_Propensity,CAISslope_Estimates,CAISslope_Std.Error,CAISslope_Estimates_noantelope,CAISslope_Std.Error_noantelope,CAISslope_proteomeEstimates_noantelope,CAISslope_proteomeStd.Error_noantelope,CAISslopeNEWproteome_Estimates,CAISslopeNEWproteome_Std.Error,CAISslopeNEWPfam_Estimates,CAISslopeNEWPfam_Std.Error,clrCAISslopeNEWproteome_Estimates,clrCAISslopeNEWproteome_Std.Error,clrCAISslopeNEWPfam_Estimates,clrCAISslopeNEWPfam_Std.Error,kldCAISslope_Proteome,kldCAISslope_Proteome_Std.Error,kldCAISslope_Pfam,kldCAISslope_Pfam_Std.Error,picCAISslopeNEWproteome_Estimates,picCAISslopeNEWproteome_Std.Error,picCAISslopeNEWPfam_Estimates,picCAISslopeNEWPfam_Std.Error,pic2CAISslopeNEWPfam_Estimates,pic2CAISslopeNEWPfam_Std.Error,pic2CAISslopeNEWproteome_Estimates,pic2CAISslopeNEWproteome_Std.Error,logPICpfam_Estimates,logPICpfam_Std.Error,logPICproteome_Estimates,logPICproteome_Std.Error,loglogPICpfam_Estimates,loglogPICpfam_Std.Error,loglogPICproteome_Estimates,loglogPICproteome_Std.Error,ENCslope_Pfam_Estimates,ENCslope_proteome_Std.Error,mean_LKmarch22,stderr_LKmarch22,VolumeA3,RaifordAerobicCost,Essential,Essential_Costa2015,Levy_Stickiness,Mean_RSA,Polarity,Hydrophobicity,TourasseChangeability,num_Codons,PAM_sub,BLOSUM_sub,Mean_TdS_conf,Absolute_TS,N1redun,N2redun,N3redun,Jordan_st2_D,Jordan_st2_Ribosomal_proteins_with_ancestors_reconstructed_by_PAML‡,Jordan_st2_Ribosomal_proteins_with_ancestors_reconstructed_by_EMAPI‡,Jordan_st2_Eukaryotic_proteins_with_ancestors_reconstructed_by_PAML‡,Jordan_st2_Eukaryotic_proteins_with_ancestors_reconstructed_by_EMAPI‡,Jordan_st1_D,Jordan_st1_Derr,Jordan_t3_D,Jordan_t3_Derr,Jordan_t3_current_frequency,Jordan_t3_asymptotic_frequency,Jordan_t3_Freq_w_unbiased_usage_of_codons,Jordan_t3_Number_of_substitutions_since_origin,Jordan_t3_Initial_freq,NonTrans_Estimates_noantelope,NonTrans_Std.Error_noantelope,Trans_Estimates_noantelope,Trans_Std.Error_noantelope,Old_Estimates_noantelope,Old_Std.Error_noantelope,Young_Estimates_noantelope,Young_Std.Error_noantelope,NonTransNEW_Estimates,NonTransNEW_Std.Error,TransNEW_Estimates,TransNEW_Std.Error,OldNEW_Estimates,OldNEW_Std.Error,YoungNEW_Estimates,YoungNEW_Std.Error,ns_root_1,ns_primate_1,ns_rodent_1,ns_root_2,ns_primate_2,ns_rodent_2,Root,Primatomorpha,Glires,Ne_slope,Ne_slope_err,Bodymass_slope,Bodymass_slope_err,logNe_slope,logNe_slope_err,logBodymass_slope,logBodymass_slope_err,pGC,HC_avg_aafreq,MR_avg_aafreq,Cherry_cc,Cherry_cc_p-value,Cost,Bsubtilis_rS,Bs_funcatz,Ecoli _rS,Ec_funcatz,Jansen_Gerstein_enrichmentrank,Lecocq_pearson,Lecocq_kalmangibbs,weight,,,,,
M,Met,Methionine,0.23,0.17,-0.0088,19,-3.69E-07,9.49E-07,1.41E-06,7.90E-07,0.07520578,-1.33E-07,2.65E-06,0.9600021,6.04E-07,6.02E-07,0.3158916,9.26E-07,6.38E-07,0.1471159,6.83E-07,5.76E-07,0.2357229,0.291,0.000780939,0.004784179,0.000755376,0.004804939,-0.00368901,0.005228951,0.01211434,0.009538006,0.023700201,0.009013948,1.327337838,1.144526339,1.667212393,0.75499473,0.012407689,0.010102573,0.024746999,0.00955103,0.014969381,0.012419317,0.072775268,0.03110186,0.072945133,0.030924122,0.015541957,0.012388562,3.320178634,1.472840886,0.699823792,0.574163653,0.183047475,0.080297515,0.038917599,0.031309705,0.000470087,0.000274479,-0.030567491,0.022813135,162.9,36.5,Essential,Essential,1.0124,0.841,1.27,1,4.13,1,6,5,-1.46,-4.4,0,0,0,0.0063,0.0059,0.0055,0.0062,0.0077,0.219,0.03,0.0088,0.00126,0.025,0.038,0.016,1.595,NA,0.00241658,0.004752652,0.021892518,0.00800957,0.005225607,0.005067363,0.011116997,0.008607976,0.014964215,0.009406869,0.048680436,0.015884645,0.019959008,0.010003194,0.030315758,0.017096948,0.0197,0.0194,0.0178,0.0208,0.0195,0.0178,0.022,0.0195,0.0175,2.84E-09,8.13E-10,8.35E-07,1.55E-06,0.001193963,0.000333301,4.07E-07,5.65E-05,0.333333333,0.021037,0.02202924,-0.087,0,34.3,-0.12,-4.15,0.082,2.05,12,20.55,20.24,149,,,,,
N,Asn,Asparagine,0.1,-0.04,-0.0073,13,1.58E-06,-2.01E-07,-1.38E-06,1.23E-06,0.262654,2.43E-06,3.62E-06,0.5032409,-3.37E-06,8.60E-07,9.25E-05,-3.74E-06,8.88E-07,2.60E-05,-3.59E-06,8.01E-07,7.37E-06,0.285,-0.077255039,0.010973429,-0.07697616,0.010961874,-0.037946905,0.013796795,-0.121400096,0.023615698,-0.073743005,0.01770869,-2.270707697,1.235605384,-1.158978607,0.796788963,-0.129548796,0.024956455,-0.078826262,0.01872103,0.00024392,0.024587214,0.034861125,0.032921078,0.034731381,0.032732216,2.95E-05,0.024448464,0.885598019,0.853400796,-0.062739652,0.632754013,0.056621447,0.046467065,0.009424891,0.034503775,0.00515029,0.00058631,-0.021832629,0.022479097,114.1,18.5,Non-essential,Non-essential,-0.2693,0.658,-0.48,-1,4.1,2,2,6,-1.03,-5.6,0,0,2,-0.0052,0.0037,-0.0002,-0.0041,-0.0201,0.101,0.04,0.0073,0.00268,0.04,0.048,0.033,1.985,NA,-0.049630821,0.008459129,-0.033237726,0.00817521,-0.041225456,0.008025618,-0.069951011,0.013153513,-0.075773154,0.017930284,-0.048277391,0.016884852,-0.06271393,0.016797173,-0.108578695,0.027543068,0.0363,0.0388,0.0367,0.0387,0.0389,0.0367,0.04,0.039,0.0357,3.05E-09,1.52E-09,1.39E-07,4.69E-06,0.001417272,0.000617514,-1.26E-05,0.000170248,0.166666667,0.03521263,0.03546732,-0.095,0,14.7,0.189,6.6,0.027,4.13,1,20.47,20.49,132,,,,,
P,Pro,Proline,-0.36,-0.15,0.0139,5,-4.23E-06,-5.96E-06,-2.27E-05,2.40E-06,9.63E-21,6.43E-07,5.29E-06,0.9034263,-7.62E-07,1.12E-06,0.4968856,8.12E-08,1.09E-06,0.9406974,-4.23E-07,1.07E-06,0.6922511,1,0.100387576,0.018746624,0.100451113,0.01883076,0.064227367,0.022081855,0.139488266,0.039973407,0.052570683,0.017085045,3.243379338,1.424028998,1.801741146,0.904824444,0.149237947,0.042272861,0.056412205,0.018067856,-0.151137611,0.051920398,0.047245909,0.034410829,0.048809082,0.034322325,-0.149102182,0.051744648,1.030409759,0.745294964,-2.567659732,0.875193438,0.051472066,0.040706476,-0.155439129,0.047321416,-0.007455855,0.000998276,0.034615108,0.012885205,112.7,14.5,Conditionally essential,Non-essential,-0.1799,0.658,0,-1,3.03,4,6,7,-0.06,0,0,0,4,-0.0022,-0.0087,0.0005,-0.0042,0.0037,-0.362,0.04,-0.0139,0.00262,0.043,0.022,0.066,NA,0.101,0.034723284,0.008543576,0.022921303,0.007494807,0.026199538,0.007720183,0.056010568,0.01930192,0.057638508,0.017452399,0.030162707,0.015321104,0.052359756,0.015430497,0.065173536,0.039501442,0.0551,0.0528,0.0622,0.0588,0.0529,0.0624,0.0575,0.0522,0.0641,-5.01E-09,4.05E-09,5.63E-06,9.93E-06,-0.002837429,0.001641045,0.00039545,0.000359071,0.833333333,0.06437272,0.06147615,0.05,0,20.3,-0.036,-2.89,-0.061,-2.05,11,0.43,0.39,115,,,,,
Q,Gln,Glutamine,0.11,-0.09,-0.002,11,-2.52E-06,-5.06E-06,3.46E-06,1.79E-06,0.05328059,-3.20E-06,5.94E-06,0.5904579,-3.86E-06,8.12E-07,2.10E-06,-2.92E-06,7.92E-07,0.000229991,-3.57E-06,7.36E-07,1.28E-06,0.665,-0.002703676,0.00624045,-0.002401443,0.006140267,-0.000975042,0.002735057,-0.003399641,0.012276627,0.002478198,0.014695121,0.752992005,1.136228876,0.709603078,0.783704681,-0.003535865,0.012997605,0.003037103,0.015557296,-0.142587839,0.029588793,-0.082159162,0.054295572,-0.078728376,0.054317276,-0.140951169,0.029558125,-1.809853793,1.282548676,-2.93194763,0.616515567,-0.099533568,0.069946417,-0.164090242,0.033452724,-0.000204486,0.00035489,0.021556014,0.017724331,143.8,10.5,Conditionally essential,Non-essential,-0.4114,0.636,-0.73,-1,3.73,2,4,5,-1.73,-7.8,0,0,2,0.0103,0.0057,0.0193,0.0037,0.0123,0.037,0.04,0.002,0.00184,0.038,0.041,0.033,3.821,NA,0.010053698,0.006902766,-0.005567352,0.007116636,0.013994232,0.00597601,-0.013240001,0.01638098,0.011848886,0.013879323,-0.010274822,0.014229607,0.018206254,0.012107269,-0.028746674,0.032723939,0.0503,0.0498,0.0494,0.0486,0.0497,0.0495,0.0484,0.0498,0.0497,1.24E-09,1.24E-09,2.29E-06,2.61E-06,0.000465477,0.000514515,5.79E-05,9.52E-05,0.5,0.04727122,0.04708389,0.06,0,16.3,0.016,0.08,-0.137,-9.84,9,0.59,20.38,146,,,,,
R,Arg,Arginine,-0.08,0.18,-0.0038,10,-1.29E-06,-2.24E-06,2.98E-06,1.94E-06,0.1232735,8.46E-06,5.85E-06,0.1495614,-6.24E-07,1.20E-06,0.6034024,-3.41E-07,1.32E-06,0.7964742,-2.78E-07,1.17E-06,0.8122064,0.394,0.083717803,0.00766964,0.083544556,0.007670669,0.052703566,0.011583227,0.125665926,0.018444154,0.100608381,0.017652943,3.112654905,1.273306379,2.558077205,0.820501408,0.133565755,0.019496139,0.107017086,0.018664516,-0.004958036,0.031945351,0.004232089,0.054708994,0.0063771,0.054523837,-0.00499027,0.031761369,0.091438691,1.038068508,-0.148627706,0.579741752,-0.005575981,0.056620845,-0.020175885,0.031574976,-0.005278288,0.00039706,-0.009803655,0.008953327,173.4,20.5,Conditionally essential,Non-essential,-0.0876,0.639,-0.84,-1,3.37,6,6,5,-1.88,-13.7,2,0,4,-0.0059,-0.0041,-0.0286,0.0018,0.0074,0.052,0.05,0.0038,0.00433,0.051,0.056,0.098,3.195,NA,0.074086048,0.007807218,0.048869625,0.007877586,0.066073113,0.008238031,0.076793302,0.012975797,0.111270196,0.018069246,0.073496153,0.016849136,0.094179296,0.018591176,0.12128273,0.027378027,0.0555,0.0613,0.0607,0.0551,0.0613,0.0605,0.0531,0.0616,0.0616,2.27E-10,2.95E-09,3.50E-06,6.91E-06,-0.000344003,0.001214798,0.000116052,0.000251004,0.722222222,0.057154475,0.055749325,0.08,0,27.3,-0.108,-8.54,-0.041,-2.14,17,0.72,0.52,174,,,,,
S,Ser,Serine,0.04,0.05,-0.017,6,-3.83E-06,-7.75E-06,-1.42E-05,2.19E-06,1.19E-10,6.33E-07,6.71E-06,0.9250434,-1.61E-06,1.00E-06,0.107516,-3.26E-06,1.13E-06,0.003988755,-1.40E-06,1.00E-06,0.163653,0.713,0.024355381,0.013698795,0.025059685,0.013442567,0.02528435,0.009429691,0.045750347,0.026934846,0.047963805,0.012851879,1.339264691,1.062483084,1.327351032,0.697401925,0.048039439,0.028522177,0.050681091,0.013609689,-0.310871814,0.054890211,-0.043124554,0.051071977,-0.039847766,0.051102126,-0.307691109,0.054858526,-0.550216856,0.74177459,-3.665899718,0.652511647,-0.027311481,0.040476634,-0.197975257,0.035687329,-0.001466972,0.000777262,0.028946326,0.009050981,89,14.5,Non-essential,Non-essential,0.1376,0.722,-0.5,-1,3.96,6,2,4,-1.11,-3.9,2,2,4,0.0116,0.0138,0.0297,0.002,0.0009,0.135,0.03,0.0167,0.00356,0.062,0.08,0.098,1.597,NA,0.021985869,0.007316415,0.026320301,0.013013511,0.029421133,0.007046035,0.003815832,0.015468886,0.040793113,0.014702476,0.055673806,0.025954542,0.053435079,0.01426775,0.017180834,0.030884336,0.0969,0.0946,0.1023,0.0851,0.0947,0.1023,0.0827,0.0954,0.1014,5.42E-09,2.53E-09,4.12E-06,4.65E-06,0.002130239,0.00104894,8.56E-05,0.000169511,0.5,0.0838229,0.084575755,0.02,0.13,11.7,-0.099,0.01,-0.223,-8.92,2,20.84,20.57,105,,,,,
T,Thr,Theonine,-0.02,0.08,-0.0091,9,8.32E-07,-4.20E-07,-3.48E-06,1.36E-06,0.01051044,6.53E-07,3.78E-06,0.8630705,2.38E-06,8.91E-07,0.00760904,1.45E-06,9.69E-07,0.1335275,1.54E-06,8.56E-07,0.07302443,0.401,0.000925584,0.007104502,0.001053142,0.007117123,0.00955594,0.00881647,0.010761112,0.014190923,0.024568718,0.010364957,1.002192549,1.146184506,1.107073031,0.75176352,0.010867759,0.015027531,0.025649762,0.010980937,-0.043873565,0.021699856,0.066062471,0.016950117,0.065751769,0.016861282,-0.044091526,0.021578234,1.261085139,0.322917966,-0.816683336,0.398466386,0.072316099,0.017490125,-0.040447894,0.021803866,0.000462717,0.000409441,-0.001628808,0.014308178,116.1,21.5,Essential,Essential,0.1031,0.728,-0.27,-1,4.26,4,3,5,-1.08,-3.9,0,0,4,0.0069,0.0031,0.0116,0.0043,0.0088,0.085,0.02,0.0091,0.00282,0.051,0.061,0.066,1.957,NA,0.008357399,0.005744964,-0.001427565,0.006905995,0.010060091,0.005430698,0.006938397,0.008612138,0.023688155,0.011375146,0.003042476,0.01380267,0.028136335,0.010698058,0.01764743,0.017182979,0.0571,0.0572,0.0596,0.0531,0.0573,0.0596,0.0522,0.0576,0.0589,4.70E-09,2.00E-09,4.24E-06,3.42E-06,0.001732657,0.000838276,0.000163591,0.000124242,0.5,0.053388585,0.05437482,0.03,0,18.7,0.135,5.24,0.003,2.22,15,20.59,20.41,119,,,,,
V,Val,Valine,0.04,0.09,-0.0098,4,2.41E-06,6.37E-06,5.07E-06,1.41E-06,0.000314926,6.87E-06,4.73E-06,0.1480047,7.06E-06,1.15E-06,8.73E-10,7.77E-06,1.30E-06,2.40E-09,7.29E-06,1.15E-06,2.79E-10,0.263,0.023603793,0.006687458,0.023331962,0.006621204,0.001819504,0.006733036,0.056310769,0.012902366,0.099633263,0.012381318,1.738917274,1.216857518,2.123277218,0.788395272,0.059345295,0.01367022,0.105359425,0.01311695,0.103929329,0.03986552,0.134311515,0.027026344,0.133937293,0.026878668,0.102143557,0.039759479,2.003145744,0.402185995,1.69951445,0.647813948,0.109127375,0.021942985,0.095391237,0.035272589,-0.000471464,0.000400727,-0.018456839,0.010227566,140,29,Essential,Essential,0.7599,0.857,1.09,1,3.97,4,4,4,-0.43,-1.3,0,0,4,-0.007,-0.0043,-0.0392,0.0026,0.0128,0.063,0.01,0.0098,0.00182,0.069,0.078,0.066,1.927,NA,0.045094527,0.004637567,0.069937174,0.006771715,0.051116027,0.004871165,0.051826828,0.013933257,0.086970947,0.009527968,0.120711359,0.015046199,0.098015177,0.010100225,0.092715705,0.02817961,0.0662,0.0624,0.0612,0.061,0.0624,0.0612,0.0605,0.0631,0.0614,4.04E-09,2.14E-09,3.41E-06,3.79E-06,0.001644153,0.000883506,-5.45E-05,0.000138005,0.5,0.059038125,0.060848165,-0.069,0,23.3,0.095,5.02,0.219,7.63,18,0.41,0.35,117,,,,,
W,Trp,Tryptophan,0.42,0.11,-2.00E-04,20,5.02E-07,9.19E-07,-1.99E-07,7.59E-07,0.7930612,-4.79E-07,2.50E-06,0.8481861,-1.28E-06,6.27E-07,0.04051672,-1.68E-06,6.57E-07,0.01070872,-1.55E-06,6.18E-07,0.01236893,0.004,0.000667401,0.002420595,0.000604923,0.002417616,0.000538851,0.001852943,0.001014312,0.004832481,0.003168529,0.004074073,0.879976476,1.47014158,0.867657413,0.883597666,0.001183151,0.005116013,0.003303865,0.004313624,0.039397319,0.008502621,0.021164054,0.011430361,0.02146562,0.01137682,0.039454302,0.008454229,1.544476189,0.827209273,3.351499411,0.719347399,0.081391129,0.04516553,0.183631852,0.039203215,-1.95E-05,0.000139866,0.010089419,0.017556543,227.8,75.5,Essential,Essential,0.7925,0.837,0.88,0,1.04,1,17,11,-0.99,-4.4,0,0,0,0.0022,0.0014,0.0047,0.0007,0.0021,0.007,0.11,0.0002,0.00041,0.011,0.012,0.016,NA,NA,0.001606416,0.001867007,-0.007147413,0.008773086,0.002579877,0.001594611,0.00163406,0.004703227,0.003064274,0.003732661,-0.010648659,0.017557249,0.0055799,0.003180942,0.000594204,0.009405116,0.0118,0.018,0.0118,0.0115,0.0179,0.0118,0.0115,0.0175,0.0119,-6.07E-10,4.76E-10,1.13E-06,9.62E-07,-0.00026517,0.000195937,5.75E-05,3.47E-05,0.666666667,0.012359755,0.012071235,0.13,0,74.3,-0.177,-4.96,-0.206,-7.93,13,0.34,0.51,204,,,,,
Y,Tyr,Tyrosine,-0.09,-0.04,5.00E-04,18,1.39E-06,2.11E-06,1.53E-06,1.23E-06,0.2153081,1.48E-06,3.02E-06,0.6254941,-4.55E-06,8.86E-07,2.95E-07,-3.36E-06,8.79E-07,0.000137963,-4.54E-06,8.43E-07,7.74E-08,0.113,-0.033438255,0.006113427,-0.03336576,0.006133984,-0.024193186,0.005412332,-0.048823424,0.012971195,-0.04436126,0.010040025,-0.909179042,1.3550512,-0.649370042,0.785066864,-0.052076105,0.013720117,-0.047298948,0.010616682,0.102305713,0.021330847,0.054072763,0.03290415,0.05488157,0.03274535,0.101763155,0.021229312,1.669486569,1.01763857,3.734732033,0.77599967,0.094392551,0.05545857,0.21151116,0.041992779,0.002452572,0.000325528,-0.02060387,0.020334912,193.6,59,Conditionally essential,Non-essential,0.8806,0.813,0.33,-1,1.38,2,10,7,-1.13,-5.6,0,0,2,0.0025,0.0023,0.0115,-0.0002,-0.0037,-0.042,0.05,-0.0005,0.00118,0.032,0.031,0.033,NA,0.034,-0.03023222,0.004627608,-0.026062213,0.006197741,-0.032735932,0.003733127,-0.009915692,0.01034745,-0.049753868,0.009786305,-0.041518491,0.012730048,-0.056396411,0.008077232,-0.010029789,0.020742796,0.0247,0.0257,0.0199,0.0269,0.0256,0.0199,0.028,0.0255,0.0193,9.72E-10,7.21E-10,1.56E-06,2.03E-06,0.00051152,0.000292938,2.42E-05,7.38E-05,0.166666667,0.025999095,0.02707638,-0.111,0,50,-0.15,-6.69,-0.023,2.74,10,0.2,0.16,181,,,,,
